T,18236,0
C,18265,1773759764.83
C,9536,1773759792.87
T,18265,0
C,18560,1773759843.65
T,18560,0
T,9536,0
C,18350,1773759950.69
C,18694,1773759974.52
T,18694,0
C,18667,1773760023.30
T,18667,0
C,18717,1773760093.63
T,18350,0
T,18717,0
C,16918,1773760214.64
C,18653,1773760221.91
T,16918,0
C,18250,1773760252.47
T,18250,0
C,17053,1773760293.02
T,17053,0
T,18653,0
C,18762,1773760332.91
T,18762,0
C,18292,1773760371.53
T,18292,0
C,9008,1773760422.19
T,9008,0
C,9933,1773760459.85
T,9933,0
C,18013,1773760544.98
T,18013,0
C,18819,1773760762.61
C,18794,1773761759.84
T,18794,0
C,18819,1773761933.30
T,18819,0
C,19522,1773761983.24
C,18684,1773762222.44
T,18684,0
C,18720,1773762394.18
T,18720,0
C,18740,1773762429.92
T,18740,0
C,18770,1773762464.05
T,18770,0
C,1027,1773763031.44
T,1027,0
C,1029,1773763110.21
C,15961,1773763120.85
T,1029,0
C,11099,1773763124.67
T,11099,0
C,1092,1773763136.23
T,15961,0
T,1092,0
C,9529,1773763205.03
C,1225,1773763265.19
T,1225,0
T,9529,0
C,26950,1773763486.92
T,26950,0
C,61499,1773763515.78
T,61499,0
C,18300,1773763535.27
T,18300,0
C,17008,1773763548.48
T,17008,0
C,1286,1773763678.46
T,1286,0
C,10734,1773763904.27
T,10734,0
C,1279,1773764439.02
C,2417,1773764445.76
T,2417,0
C,9738,1773764503.48
T,1279,0
C,2953,1773764549.41
T,2953,0
T,9738,0
C,2367,1773764584.34
T,2367,0
C,18787,1773764706.78
T,18787,0
C,19527,1773764876.03
C,16943,1773764906.96
T,19527,0
C,18774,1773764934.18
T,18774,0
C,19522,1773765042.40
T,16943,0
T,19522,0
C,12158,1773765153.46
C,3059,1773765165.29
T,12158,0
T,3059,0
C,12192,1773776595.15
C,24641,1773805738.45
C,24678,1773805758.21
T,24678,0
C,4628,1773805808.63
T,4628,0
C,18065,1773805898.49
T,18065,0
C,26887,1773805913.93
T,26887,0
C,32348,1773806022.51
T,32348,0
C,32143,1773806072.28
C,32367,1773807018.84
T,32367,0
C,32294,1773807148.62
T,32294,0
C,32143,1773836898.37
C,209,1773836909.38
T,209,0
C,32431,1773836939.18
T,32431,0
C,27478,1773837088.46
T,27478,0
C,24680,1773837108.42
T,24680,0
C,60815,1773837184.83
C,60601,1773837252.46
T,60601,0
C,21128,1773837299.70
C,27537,1773837323.34
T,27537,0
C,399,1773837347.64
T,399,0
C,18086,1773837402.94
T,18086,0
C,12211,1773837741.25
T,12211,0
C,17044,1773837994.47
T,17044,0
C,31230,1773838066.29
T,31230,0
C,23453,1773838089.11
T,23453,0
C,875,1773838115.67
T,875,0
C,14701,1773838129.13
T,14701,0
C,15203,1773838233.97
T,15203,0
C,26151,1773838311.44
T,26151,0
C,60458,1773838384.63
T,60458,0
C,17469,1773838522.21
T,17469,0
C,12341,1773838555.31
T,12341,0
C,12187,1773838680.01
T,12187,0
C,21110,1773838692.29
T,21110,0
C,415,1773838873.68
T,415,0
C,4965,1773838910.87
T,4965,0
C,1682,1773838962.82
T,1682,0
C,1640,1773839011.67
T,1640,0
C,8637,1773839210.93
T,8637,0
C,6977,1773839359.30
T,6977,0
C,28051,1773839541.06
T,28051,0
C,24504,1773839602.89
T,24504,0
C,21085,1773839632.11
T,21085,0
C,1750,1773839743.11
T,1750,0
C,112803,1773839863.03
T,112803,0
C,47273,1773839879.85
T,47273,0
C,112833,1773839896.12
T,112833,0
C,12554,1773839922.21
T,12554,0
C,589,1773839934.31
T,589,0
C,12345,1773840345.15
T,12345,0
C,27787,1773840358.25
T,27787,0
C,7735,1773840386.17
T,7735,0
C,1977,1773840878.76
T,1977,0
C,594,1773841128.16
C,3328,1773841771.75
T,3328,0
C,3713,1773841828.33
C,4978,1773841892.67
T,4978,0
C,112304,1773841926.00
T,112304,0
C,62968,1773842109.23
T,62968,0
C,62950,1773842152.47
T,62950,0
C,18723,1773842169.17
T,18723,0
C,7135,1773842708.38
C,1026,1773844856.71
T,1026,0
C,3083,1773844970.87
T,3083,0
C,3118,1773845089.71
T,3118,0
C,18649,1773845196.84
T,18649,0
C,2973,1773845261.09
T,2973,0
C,1008,1773845485.29
T,1008,0
C,1107,1773845513.98
T,1107,0
C,336,1773857915.04
T,336,0
C,11572,1773858018.26
T,11572,0
C,11116,1773858647.11
T,11116,0
C,10986,1773858703.15
T,10986,0
C,11018,1773858887.39
T,11018,0
C,467,1773859151.64
T,467,0
